<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIBN,D,23/04/21,00:00:00,357.9500000,368.2000000,355.5500000,364.4500000,3181070
SIBN,D,26/04/21,00:00:00,365.0500000,365.9500000,359.3000000,365.5000000,1192860
SIBN,D,27/04/21,00:00:00,366.9500000,367.2500000,360.0000000,363.0000000,1231020
SIBN,D,28/04/21,00:00:00,363.6000000,363.9500000,356.6000000,356.9000000,1301760
SIBN,D,29/04/21,00:00:00,360.0000000,365.8500000,357.5500000,363.2500000,1593710
SIBN,D,30/04/21,00:00:00,363.3500000,365.5000000,358.3500000,361.2000000,1153620
SIBN,D,04/05/21,00:00:00,362.1000000,368.7000000,361.2500000,365.0000000,788550
SIBN,D,05/05/21,00:00:00,367.1000000,370.0000000,366.7000000,368.6000000,1003440
SIBN,D,06/05/21,00:00:00,368.4500000,373.8000000,367.7000000,370.5000000,1096220
SIBN,D,07/05/21,00:00:00,371.5000000,374.7500000,371.1000000,374.2500000,720570
SIBN,D,10/05/21,00:00:00,375.0500000,376.0000000,371.8000000,373.0500000,727780
SIBN,D,11/05/21,00:00:00,372.3000000,372.3000000,365.3000000,367.2000000,1186260
SIBN,D,12/05/21,00:00:00,367.2000000,371.6500000,367.2000000,370.5000000,719830
SIBN,D,13/05/21,00:00:00,369.0500000,370.0000000,363.7000000,370.0000000,785210
SIBN,D,14/05/21,00:00:00,370.3500000,373.1000000,369.1000000,373.1000000,599600
SIBN,D,17/05/21,00:00:00,373.2500000,374.3500000,369.0000000,373.2000000,613010
SIBN,D,18/05/21,00:00:00,375.3500000,377.9500000,373.7500000,377.0000000,1126630
SIBN,D,19/05/21,00:00:00,377.9500000,379.5000000,366.1500000,366.3000000,1458270
SIBN,D,20/05/21,00:00:00,367.1000000,370.7000000,360.1000000,365.7000000,999100
SIBN,D,21/05/21,00:00:00,367.3000000,375.0000000,366.1000000,373.5000000,832260
SIBN,D,24/05/21,00:00:00,375.2000000,379.0000000,371.8000000,378.0000000,876690
SIBN,D,25/05/21,00:00:00,379.9000000,381.1500000,375.8500000,377.4500000,1283850
SIBN,D,26/05/21,00:00:00,379.1000000,382.5500000,378.0500000,382.5500000,1233040
SIBN,D,27/05/21,00:00:00,382.2000000,382.2500000,377.1500000,379.3500000,636530
SIBN,D,28/05/21,00:00:00,380.9000000,384.0000000,375.0000000,379.0500000,1188710
SIBN,D,31/05/21,00:00:00,381.8000000,383.8500000,379.0000000,383.3500000,549880
SIBN,D,01/06/21,00:00:00,383.6500000,393.9500000,383.6500000,393.0500000,1470540
SIBN,D,02/06/21,00:00:00,393.0500000,402.4500000,392.9000000,399.9000000,2295290
SIBN,D,03/06/21,00:00:00,402.0000000,407.0500000,396.2000000,406.6500000,1597090
SIBN,D,04/06/21,00:00:00,406.7000000,414.2000000,403.4000000,412.3000000,2332380
SIBN,D,07/06/21,00:00:00,411.6000000,423.4000000,407.1000000,415.0500000,1980470
SIBN,D,08/06/21,00:00:00,414.3500000,417.6500000,406.5500000,406.5500000,1282490
SIBN,D,09/06/21,00:00:00,411.0500000,412.1000000,408.5000000,409.0000000,892410
SIBN,D,10/06/21,00:00:00,409.9500000,411.5000000,407.2500000,410.2500000,931220
SIBN,D,11/06/21,00:00:00,410.2500000,411.0000000,408.0000000,410.0000000,666100
SIBN,D,14/06/21,00:00:00,411.4500000,416.3000000,410.0000000,415.0000000,581240
SIBN,D,15/06/21,00:00:00,416.0000000,421.9000000,413.0500000,416.1000000,1847640
SIBN,D,16/06/21,00:00:00,417.7500000,426.2500000,417.7000000,424.0000000,1559550
SIBN,D,17/06/21,00:00:00,423.5000000,428.2500000,421.0000000,425.7000000,1011080
SIBN,D,18/06/21,00:00:00,422.2500000,425.0000000,419.0500000,420.8000000,1363180
SIBN,D,21/06/21,00:00:00,421.5500000,428.2000000,420.5000000,422.3000000,999460
SIBN,D,22/06/21,00:00:00,427.5000000,435.7500000,425.1500000,435.7500000,1548010
SIBN,D,23/06/21,00:00:00,435.3500000,439.6000000,433.2000000,435.5000000,1588800
SIBN,D,24/06/21,00:00:00,428.0500000,431.6500000,425.8000000,430.6500000,1222620
SIBN,D,25/06/21,00:00:00,429.3500000,430.6000000,426.2000000,430.0500000,636670
SIBN,D,28/06/21,00:00:00,431.1000000,433.0000000,426.9000000,430.0000000,899970
SIBN,D,29/06/21,00:00:00,428.1500000,429.0000000,420.4000000,424.7500000,1379130
SIBN,D,30/06/21,00:00:00,425.7000000,437.0000000,418.9000000,434.0000000,2777780
SIBN,D,01/07/21,00:00:00,436.3500000,447.8500000,435.0000000,442.9000000,2326790
SIBN,D,02/07/21,00:00:00,442.0000000,450.8000000,439.3000000,447.1000000,2179240
SIBN,D,05/07/21,00:00:00,446.0000000,446.8500000,441.6000000,443.9000000,1098890
SIBN,D,06/07/21,00:00:00,445.9000000,450.9500000,443.2500000,449.9000000,1142040
SIBN,D,07/07/21,00:00:00,449.3000000,451.8000000,446.1500000,450.0000000,843480
SIBN,D,08/07/21,00:00:00,448.5000000,449.5000000,438.9000000,440.0500000,1215540
SIBN,D,09/07/21,00:00:00,440.6000000,442.4500000,437.1000000,440.0000000,984370
SIBN,D,12/07/21,00:00:00,438.9500000,441.1000000,435.0500000,435.0500000,1179900
SIBN,D,13/07/21,00:00:00,435.1000000,436.1000000,433.5500000,436.0000000,771060
SIBN,D,14/07/21,00:00:00,436.5500000,441.0000000,432.1000000,439.5000000,1138040
SIBN,D,15/07/21,00:00:00,439.6000000,439.6000000,432.2500000,433.9000000,543460
SIBN,D,16/07/21,00:00:00,433.9500000,433.9500000,428.3500000,428.4000000,535660
SIBN,D,19/07/21,00:00:00,428.4000000,428.6000000,414.1000000,414.7500000,1416220
SIBN,D,20/07/21,00:00:00,419.3000000,424.1000000,418.1000000,421.4500000,1186400
SIBN,D,21/07/21,00:00:00,423.4500000,429.7500000,419.0500000,420.2500000,964140
SIBN,D,22/07/21,00:00:00,424.3500000,426.7500000,420.3500000,423.0000000,439340
SIBN,D,23/07/21,00:00:00,423.0000000,425.9000000,421.3000000,421.8000000,438250
SIBN,D,26/07/21,00:00:00,421.0000000,422.7500000,414.3500000,421.0000000,422850
SIBN,D,27/07/21,00:00:00,420.0500000,424.9000000,417.9500000,422.7000000,547360
SIBN,D,28/07/21,00:00:00,426.0000000,427.5000000,423.0000000,426.2000000,374100
SIBN,D,29/07/21,00:00:00,427.0000000,429.9500000,426.2000000,428.4500000,548950
SIBN,D,30/07/21,00:00:00,426.9000000,426.9500000,423.2000000,425.3500000,607810
SIBN,D,02/08/21,00:00:00,427.4000000,427.6500000,420.7500000,422.3500000,658530
SIBN,D,03/08/21,00:00:00,422.4500000,426.0000000,417.9500000,426.0000000,791360
SIBN,D,04/08/21,00:00:00,426.0000000,428.6500000,421.7000000,424.4500000,542090
SIBN,D,05/08/21,00:00:00,422.4000000,424.3000000,420.1000000,421.6500000,842640
SIBN,D,06/08/21,00:00:00,422.1500000,427.9000000,420.0000000,427.4000000,917990
SIBN,D,09/08/21,00:00:00,423.2500000,426.5000000,421.0000000,421.1500000,678560
SIBN,D,10/08/21,00:00:00,431.5000000,431.5000000,422.8000000,425.7000000,1394230
SIBN,D,11/08/21,00:00:00,427.8000000,430.0000000,425.2000000,429.8000000,631410
SIBN,D,12/08/21,00:00:00,432.0000000,433.0000000,427.6500000,429.5500000,407880
SIBN,D,13/08/21,00:00:00,431.1000000,431.1500000,423.3000000,426.6500000,424000
SIBN,D,16/08/21,00:00:00,422.0500000,428.9000000,421.1500000,428.8000000,501290
SIBN,D,17/08/21,00:00:00,425.1500000,429.7000000,424.8000000,426.5000000,672160
SIBN,D,18/08/21,00:00:00,429.5500000,429.7000000,425.9500000,427.2000000,258470
SIBN,D,19/08/21,00:00:00,424.5500000,425.3000000,415.8000000,415.8000000,1248850
SIBN,D,20/08/21,00:00:00,419.6500000,419.6500000,416.0000000,417.8000000,442290
SIBN,D,23/08/21,00:00:00,420.0000000,427.2000000,419.5000000,425.5000000,616000
SIBN,D,24/08/21,00:00:00,427.0500000,427.7500000,423.6000000,423.9000000,737460
SIBN,D,25/08/21,00:00:00,426.7500000,429.6500000,424.1000000,428.0500000,599550
SIBN,D,26/08/21,00:00:00,427.6500000,432.3000000,420.4000000,420.7000000,957760
SIBN,D,27/08/21,00:00:00,423.3000000,426.0000000,421.8000000,425.4500000,310260
SIBN,D,30/08/21,00:00:00,425.9500000,431.0000000,425.9500000,429.4500000,668510
SIBN,D,31/08/21,00:00:00,430.1500000,431.7000000,425.1000000,426.1000000,674030
SIBN,D,01/09/21,00:00:00,428.9500000,430.8000000,426.2500000,430.0000000,381250
SIBN,D,02/09/21,00:00:00,430.0500000,432.2000000,427.2000000,431.7000000,406850
SIBN,D,03/09/21,00:00:00,430.1000000,438.2500000,429.0500000,438.1000000,820140
SIBN,D,06/09/21,00:00:00,438.1500000,440.9500000,432.9500000,437.2000000,710340
SIBN,D,07/09/21,00:00:00,436.6500000,436.6500000,397.8500000,430.6500000,2232790
SIBN,D,08/09/21,00:00:00,432.2500000,433.0000000,426.5000000,430.3000000,846760
SIBN,D,09/09/21,00:00:00,431.0500000,432.2000000,427.9000000,430.7000000,451000
SIBN,D,10/09/21,00:00:00,432.6500000,434.5500000,427.3000000,427.3000000,621930
SIBN,D,13/09/21,00:00:00,430.8500000,437.5000000,428.5000000,436.4000000,635370
SIBN,D,14/09/21,00:00:00,438.6500000,440.0000000,433.1500000,440.0000000,1136580
SIBN,D,15/09/21,00:00:00,440.7500000,459.4500000,439.4000000,458.1000000,3534390
SIBN,D,16/09/21,00:00:00,459.5000000,460.0000000,450.1000000,452.1500000,1003860
SIBN,D,17/09/21,00:00:00,452.2500000,458.3000000,449.3000000,454.5000000,1316550
SIBN,D,20/09/21,00:00:00,453.0500000,453.0500000,444.1000000,446.1500000,954890
SIBN,D,21/09/21,00:00:00,446.4000000,451.9500000,445.4000000,446.9500000,1078100
SIBN,D,22/09/21,00:00:00,449.8000000,455.9500000,449.8000000,455.7500000,943580
SIBN,D,23/09/21,00:00:00,459.2500000,465.4500000,452.6000000,462.5000000,1264060
SIBN,D,24/09/21,00:00:00,463.9500000,467.2000000,457.6000000,463.5000000,1796530
SIBN,D,27/09/21,00:00:00,465.2000000,473.9000000,464.2500000,473.2500000,1727770
SIBN,D,28/09/21,00:00:00,476.1000000,484.6000000,467.5000000,477.5500000,3058870
SIBN,D,29/09/21,00:00:00,474.0500000,484.9000000,470.6500000,481.3000000,1066190
SIBN,D,30/09/21,00:00:00,481.8500000,483.9500000,472.0000000,473.0000000,1334010
SIBN,D,01/10/21,00:00:00,471.4000000,481.3500000,469.7000000,477.0000000,858190
SIBN,D,04/10/21,00:00:00,477.0000000,497.9500000,477.0000000,496.6000000,1703800
SIBN,D,05/10/21,00:00:00,499.0000000,522.9500000,498.8500000,522.4500000,2736040
SIBN,D,06/10/21,00:00:00,523.0000000,531.6500000,508.5000000,510.4500000,3591680
SIBN,D,07/10/21,00:00:00,511.9500000,516.7500000,489.5000000,515.0000000,3316830
SIBN,D,08/10/21,00:00:00,523.9500000,527.8000000,510.1000000,514.0000000,1637490
SIBN,D,11/10/21,00:00:00,519.8000000,524.3500000,513.6500000,515.9500000,1623040
SIBN,D,12/10/21,00:00:00,515.3500000,518.8000000,508.6500000,513.6000000,1155800
SIBN,D,13/10/21,00:00:00,515.7500000,516.1000000,501.3000000,508.5000000,1316990
SIBN,D,14/10/21,00:00:00,510.9500000,515.7000000,505.9500000,505.9500000,681450
SIBN,D,15/10/21,00:00:00,510.9500000,519.0000000,507.1500000,519.0000000,1145990
SIBN,D,18/10/21,00:00:00,520.0000000,525.9500000,514.7000000,525.0000000,1495090
SIBN,D,19/10/21,00:00:00,525.2000000,525.2000000,516.2500000,516.2500000,932300
SIBN,D,20/10/21,00:00:00,517.0000000,520.5000000,512.0500000,520.5000000,606390
SIBN,D,21/10/21,00:00:00,517.4000000,520.0000000,512.6000000,518.7500000,607480
SIBN,D,22/10/21,00:00:00,517.0500000,519.5000000,510.5000000,513.8000000,667750
SIBN,D,25/10/21,00:00:00,515.9500000,521.7500000,510.9000000,518.5000000,816170
SIBN,D,26/10/21,00:00:00,518.5500000,524.6500000,514.7000000,519.1500000,698130
SIBN,D,27/10/21,00:00:00,515.0000000,519.0500000,508.9500000,514.7000000,672850
SIBN,D,28/10/21,00:00:00,511.1500000,514.4500000,504.4000000,513.1000000,1198890
SIBN,D,29/10/21,00:00:00,513.1000000,513.1000000,505.0000000,505.0000000,716160
SIBN,D,01/11/21,00:00:00,504.1000000,515.6000000,495.9000000,510.1000000,830750
SIBN,D,02/11/21,00:00:00,510.1000000,515.6000000,502.1000000,503.0500000,787750
SIBN,D,03/11/21,00:00:00,502.4000000,503.7000000,490.8000000,490.8500000,891870
SIBN,D,05/11/21,00:00:00,492.8500000,498.9500000,485.9000000,498.3000000,971320
SIBN,D,08/11/21,00:00:00,499.3500000,505.5000000,498.5500000,502.8500000,803300
SIBN,D,09/11/21,00:00:00,502.8500000,507.5000000,491.1500000,492.0000000,698640
SIBN,D,10/11/21,00:00:00,493.9500000,503.1500000,493.8500000,501.5000000,810240
SIBN,D,11/11/21,00:00:00,498.1000000,501.3500000,492.5500000,501.3500000,785250
SIBN,D,12/11/21,00:00:00,500.3500000,502.3000000,489.3000000,500.0000000,802630
SIBN,D,15/11/21,00:00:00,498.4500000,524.0000000,493.7500000,515.1000000,1415600
SIBN,D,16/11/21,00:00:00,520.3000000,529.9000000,511.1500000,519.1500000,1761400
SIBN,D,17/11/21,00:00:00,518.0500000,528.2000000,515.3500000,525.6500000,981040
SIBN,D,18/11/21,00:00:00,523.0500000,524.9000000,517.2000000,518.8500000,1400020
SIBN,D,19/11/21,00:00:00,521.3000000,524.5000000,501.0000000,501.1000000,1673850
SIBN,D,22/11/21,00:00:00,498.6500000,504.4500000,481.1500000,491.5000000,2499820
SIBN,D,23/11/21,00:00:00,489.1500000,512.0000000,481.0000000,509.5000000,2207450
SIBN,D,24/11/21,00:00:00,513.2000000,520.9500000,502.8500000,505.4500000,1589450
SIBN,D,25/11/21,00:00:00,506.9500000,515.0000000,496.0000000,503.9500000,1158180
SIBN,D,26/11/21,00:00:00,497.0500000,501.8500000,490.3000000,491.9000000,1700670
SIBN,D,29/11/21,00:00:00,495.9500000,509.0000000,494.8000000,500.2500000,1424370
SIBN,D,30/11/21,00:00:00,498.8500000,503.5000000,495.6500000,498.0000000,897020
SIBN,D,01/12/21,00:00:00,501.9500000,520.8500000,500.0500000,515.0000000,2103720
SIBN,D,02/12/21,00:00:00,515.0500000,526.0000000,512.5000000,518.2500000,1155160
SIBN,D,03/12/21,00:00:00,520.2000000,532.0000000,520.2000000,526.0000000,1993760
SIBN,D,06/12/21,00:00:00,529.0000000,533.9500000,509.8000000,522.9500000,1206800
SIBN,D,07/12/21,00:00:00,523.5000000,536.5500000,517.7000000,525.5000000,1395030
SIBN,D,08/12/21,00:00:00,527.7500000,532.7500000,519.6500000,522.8000000,940360
SIBN,D,09/12/21,00:00:00,524.8000000,528.0000000,517.0500000,523.2000000,703920
SIBN,D,10/12/21,00:00:00,520.3500000,522.5500000,516.1000000,518.9000000,554010
SIBN,D,13/12/21,00:00:00,520.2500000,524.2000000,511.6500000,512.1000000,757140
SIBN,D,14/12/21,00:00:00,508.7500000,519.0000000,494.0500000,509.0000000,862380
SIBN,D,15/12/21,00:00:00,513.9500000,528.7500000,513.4000000,520.0000000,1042580
SIBN,D,16/12/21,00:00:00,526.0000000,537.2500000,524.2500000,535.8500000,1318160
SIBN,D,17/12/21,00:00:00,534.8500000,539.0000000,530.1500000,534.4000000,1293910
SIBN,D,20/12/21,00:00:00,530.2500000,539.7000000,526.8000000,535.4000000,1389820
SIBN,D,21/12/21,00:00:00,539.6000000,544.4000000,534.5000000,543.9000000,1642180
SIBN,D,22/12/21,00:00:00,544.4000000,547.7000000,540.1500000,545.9500000,1831740
SIBN,D,23/12/21,00:00:00,546.4500000,557.0000000,546.4500000,551.5000000,2185260
SIBN,D,24/12/21,00:00:00,551.5000000,563.7500000,546.0000000,562.0000000,2091680
SIBN,D,27/12/21,00:00:00,522.6000000,529.0000000,520.0000000,526.2500000,2466790
SIBN,D,28/12/21,00:00:00,527.5500000,541.2500000,527.3500000,540.7000000,2127030
SIBN,D,29/12/21,00:00:00,542.0000000,545.9500000,530.8000000,539.0000000,1147290
SIBN,D,30/12/21,00:00:00,538.5000000,546.0000000,534.7000000,544.8000000,1423550
